Timestamp,Gender,Age,Year of Study,Major/Intended Major,"Average mobile screen time per day? (This question has to be accurate so please check this from your settings 🙏  🙏. in Hour:Min, don't worry about AM/PM)",What time of the day do you use your phone the most?⏰,What day of the week do you use your phone the most?📅,Most used app(Genre of app),Do you use your phone for academic purposes?,Number of people in your friend circle 👥👥,How would you rate your anxiety level on a scale of 1-5(with 5 being most anxious)😬,Do you play any sport? ⚽ 🏀 🏏,What is your CGPA? 🎓,Would you be willing to reduce your phone usage if it meant improving your academic performance?,"Do you use strategies to manage your phone usage? (e.g,  Setting usage limits, Using apps to track usage, Turning off notifications, Scheduled phone-free times  )"
10/15/2024 1:14:49,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,5:48:00 PM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,20,2,Yes,2.5-3.0,Yes,Yes
10/15/2024 1:14:54,Female,23,Junior,Medical 🩺,7:30:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,More than 50 people,2,No,3.3-3.6,Yes,No
10/15/2024 1:15:46,Female,20,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:30:00 AM,Afternoon,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,10,3,No,3.3-3.6,Yes,No
10/15/2024 1:20:37,Male,18,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,9:00:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,8,3,Yes,3.3-3.6,Yes,No
10/15/2024 1:21:34,Male,20,Junior,Arts 🎨 / Humanities and Social Science💲,2:58:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,10,1,Yes,3.6-4.0,Yes,Yes
10/15/2024 1:26:11,Male,20,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,3:20:00 AM,Evening,Friday,"Messaging(Whatsapp, Messenger) 💬",Yes,10,4,Yes,3.6-4.0,Yes,No
10/15/2024 1:32:21,Male,22,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,1:30:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,20,1,Yes,3.3-3.6,Yes,No
10/15/2024 1:33:58,Male,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:00:00 PM,Evening,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,12-15,4,No,3.6-4.0,Yes,Yes
10/15/2024 1:45:57,Female,22,Senior,Arts 🎨 / Humanities and Social Science💲,9:00:00 AM,Night,Sunday,"Messaging(Whatsapp, Messenger) 💬",Yes,5,2,No,3.3-3.6,Yes,No
10/15/2024 1:46:41,Female,20,Senior,Business Studies 📈,8:30:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,3,3,No,3.0-3.3,Yes,Yes
10/15/2024 1:54:47,Male,20,Sophomore,Medical 🩺,3:31:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,35,3,Yes,3.3-3.6,Yes,No
10/15/2024 2:16:36,Male,20,Sophomore,Business Studies 📈,2:51:00 PM,Night,Sunday,"Messaging(Whatsapp, Messenger) 💬",Yes,10,3,Yes,3.3-3.6,Yes,No
